prov_name,year,q10_dynasty_share,q50_dynasty_share,q90_dynasty_share,horizon,risk_tier,pi_width,dynasty_share_2022,delta_from_2022,trajectory
Abra,2023,35.34195327758789,36.59526062011719,38.09273147583008,2028,Moderate Risk,2.7507781982421875,37.72241973876953,-1.1271591186523438,Stable
Abra,2024,35.22319030761719,36.96227264404297,38.833492279052734,2028,Moderate Risk,3.610301971435547,37.72241973876953,-0.7601470947265625,Stable
Abra,2025,35.36530685424805,37.649879455566406,40.06936264038086,2028,Moderate Risk,4.7040557861328125,37.72241973876953,-0.072540283203125,Stable
Abra,2026,35.56821823120117,38.37196731567383,41.40227508544922,2028,Moderate Risk,5.834056854248047,37.72241973876953,0.6495475769042969,Stable
Abra,2027,35.67298889160156,38.80120468139648,42.27057647705078,2028,Moderate Risk,6.597587585449219,37.72241973876953,1.078784942626946,Stable
Abra,2028,35.66741180419922,38.94489669799805,42.65617370605469,2028,Moderate Risk,6.988761901855469,37.72241973876953,1.2224769592285156,Stable
Agusan Del Norte,2023,19.73103141784668,21.321691513061523,23.180028915405273,2028,Low Risk,3.4489974975585938,22.794116973876953,-1.4724254608154297,Stable
Agusan Del Norte,2024,19.48513412475586,21.155092239379883,23.11234474182129,2028,Low Risk,3.6272106170654297,22.794116973876953,-1.6390247344970703,Stable
Agusan Del Norte,2025,19.22709274291992,20.964580535888672,22.99635124206543,2028,Low Risk,3.7692584991455114,22.794116973876953,-1.8295364379882812,Stable
Agusan Del Norte,2026,19.0003662109375,20.783069610595703,22.868343353271484,2028,Low Risk,3.8679771423339844,22.794116973876953,-2.01104736328125,Decreasing
Agusan Del Norte,2027,18.832914352416992,20.63529586791992,22.75356674194336,2028,Low Risk,3.920652389526367,22.794116973876953,-2.158821105957035,Decreasing
Agusan Del Norte,2028,18.723724365234375,20.528461456298828,22.66388702392578,2028,Low Risk,3.9401626586914062,22.794116973876953,-2.265655517578125,Decreasing
Agusan Del Sur,2023,25.164012908935547,27.27509307861328,30.22718048095703,2028,Low Risk,5.063167572021484,28.846153259277344,-1.5710601806640625,Stable
Agusan Del Sur,2024,24.68850898742676,27.162364959716797,30.33899688720703,2028,Low Risk,5.65048789978027,28.846153259277344,-1.6837882995605469,Stable
Agusan Del Sur,2025,24.358856201171875,27.011245727539062,30.304641723632812,2028,Low Risk,5.9457855224609375,28.846153259277344,-1.8349075317382812,Stable
Agusan Del Sur,2026,24.126026153564453,26.87487030029297,30.228757858276367,2028,Low Risk,6.102731704711914,28.846153259277344,-1.971282958984375,Stable
Agusan Del Sur,2027,23.941984176635746,26.755104064941406,30.14512825012207,2028,Low Risk,6.203144073486325,28.846153259277344,-2.0910491943359375,Decreasing
Agusan Del Sur,2028,23.7850399017334,26.64820098876953,30.06253242492676,2028,Low Risk,6.277492523193363,28.846153259277344,-2.1979522705078125,Decreasing
Aklan,2023,31.930517196655273,33.39036560058594,35.799652099609375,2028,Moderate Risk,3.8691349029541016,34.78260803222656,-1.392242431640625,Stable
Aklan,2024,31.637283325195312,33.444332122802734,36.05757141113281,2028,Moderate Risk,4.4202880859375,34.78260803222656,-1.3382759094238281,Stable
Aklan,2025,31.592086791992188,33.649593353271484,36.57173156738281,2028,Moderate Risk,4.979644775390625,34.78260803222656,-1.1330146789550781,Stable
Aklan,2026,31.69609260559082,34.00934600830078,37.30085754394531,2028,Moderate Risk,5.604764938354492,34.78260803222656,-0.7732620239257812,Stable
Aklan,2027,31.851470947265625,34.43894577026367,38.13351821899414,2028,Moderate Risk,6.282047271728516,34.78260803222656,-0.3436622619628906,Stable
Aklan,2028,32.0168571472168,34.868465423583984,38.95349884033203,2028,Moderate Risk,6.936641693115234,34.78260803222656,0.08585739135742188,Stable
Albay,2023,24.150142669677734,26.550567626953125,30.091083526611328,2028,Low Risk,5.940940856933594,27.86069679260254,-1.310129165649414,Stable
Albay,2024,23.97039794921875,26.98734664916992,30.98192596435547,2028,Low Risk,7.011528015136719,27.86069679260254,-0.8733501434326207,Stable
Albay,2025,23.59855842590332,26.961944580078125,31.29260635375977,2028,Low Risk,7.694047927856449,27.86069679260254,-0.8987522125244141,Stable
Albay,2026,23.234148025512695,26.810012817382812,31.345285415649418,2028,Low Risk,8.111137390136722,27.86069679260254,-1.0506839752197266,Stable
Albay,2027,22.91876983642578,26.644611358642575,31.304698944091797,2028,Low Risk,8.385929107666016,27.86069679260254,-1.2160854339599645,Stable
Albay,2028,22.65106964111328,26.490413665771484,31.227697372436523,2028,Low Risk,8.576627731323242,27.86069679260254,-1.3702831268310547,Stable
Antique,2023,26.264358520507812,27.628360748291016,30.00469017028809,2028,Low Risk,3.740331649780277,27.46113967895508,0.16722106933593395,Stable
Antique,2024,27.14369010925293,28.992658615112305,31.800067901611328,2028,Low Risk,4.656377792358398,27.46113967895508,1.531518936157223,Stable
Antique,2025,27.748348236083984,29.87613296508789,33.02420425415039,2028,Low Risk,5.275856018066406,27.46113967895508,2.414993286132809,Increasing
Antique,2026,28.044313430786133,30.405847549438477,33.93275833129883,2028,Low Risk,5.888444900512695,27.46113967895508,2.944707870483395,Increasing
Antique,2027,28.208694458007812,30.78441047668457,34.693260192871094,2028,Low Risk,6.484565734863281,27.46113967895508,3.3232707977294886,Increasing
Antique,2028,28.2914981842041,31.055288314819336,35.28774642944336,2028,Low Risk,6.996248245239258,27.46113967895508,3.5941486358642543,Increasing
Apayao,2023,27.579742431640625,30.237728118896484,34.983734130859375,2028,Low Risk,7.40399169921875,29.629629135131836,0.6080989837646484,Stable
Apayao,2024,27.310771942138672,30.592430114746097,36.19395446777344,2028,Low Risk,8.883182525634766,29.629629135131836,0.9628009796142614,Stable
Apayao,2025,27.147367477416992,31.01672744750977,37.55113220214844,2028,Low Risk,10.403764724731445,29.629629135131836,1.3870983123779332,Stable
Apayao,2026,27.168132781982425,31.474390029907227,38.747406005859375,2028,Low Risk,11.57927322387695,29.629629135131836,1.8447608947753906,Stable
Apayao,2027,27.33565139770508,31.8977108001709,39.6558837890625,2028,Low Risk,12.320232391357418,29.629629135131836,2.2680816650390625,Increasing
Apayao,2028,27.566898345947266,32.259307861328125,40.329246520996094,2028,Low Risk,12.762348175048828,29.629629135131836,2.629678726196289,Increasing
Aurora,2023,28.553186416625977,30.75650405883789,34.19113540649414,2028,Low Risk,5.637948989868164,37.36263656616211,-6.606132507324219,Decreasing
Aurora,2024,27.77402114868164,30.49874496459961,34.36177444458008,2028,Low Risk,6.5877532958984375,37.36263656616211,-6.8638916015625,Decreasing
Aurora,2025,27.418058395385746,30.578258514404297,34.985572814941406,2028,Low Risk,7.5675144195556605,37.36263656616211,-6.7843780517578125,Decreasing
Aurora,2026,27.247501373291016,30.846500396728516,35.874298095703125,2028,Low Risk,8.62679672241211,37.36263656616211,-6.516136169433594,Decreasing
Aurora,2027,27.172836303710938,31.234039306640625,36.94049453735352,2028,Low Risk,9.767658233642585,37.36263656616211,-6.128597259521484,Decreasing
Aurora,2028,27.149538040161133,31.70229721069336,38.09621810913086,2028,Low Risk,10.946680068969727,37.36263656616211,-5.66033935546875,Decreasing
Basilan,2023,30.587270736694336,37.21589279174805,48.09839630126953,2028,Moderate Risk,17.511125564575195,33.10344696044922,4.112445831298828,Increasing
Basilan,2024,29.400161743164062,36.492523193359375,47.85979080200195,2028,Moderate Risk,18.45962905883789,33.10344696044922,3.3890762329101562,Increasing
Basilan,2025,28.271228790283203,35.79717254638672,47.4654541015625,2028,Moderate Risk,19.194225311279297,33.10344696044922,2.6937255859375,Increasing
