reg_name,prov_name,1994,1997,2000
CORDILLERA ADMINISTRATIVE REGION,Abra,83.3,70.7,61.7
Region XIII,Agusan del Norte,53.4,56,51.6
Region XIII,Agusan del Sur,68.7,62.2,64.4
REGION VI,Aklan,47.9,42.9,45.4
REGION V,Albay,50.9,53.9,51.6
REGION VI,Antique,67.9,56.1,52.8
CORDILLERA ADMINISTRATIVE REGION,Apayao,60.8,50.3,54.5
REGION III,Aurora,56.8,44.1,50.1
BARMM,Basilan,50.4,29.2,55.4
REGION III,Bataan,35.5,15,22.2
REGION II,Batanes,16.9,11.6,9.2
REGION IV-A,Batangas,27.5,22.4,23.4
CORDILLERA ADMINISTRATIVE REGION,Benguet,33.6,32.1,22.8
REGION VII,Biliran,,42.3,48.2
REGION VII,Bohol,51,54.3,62.1
Region X,Bukidnon,61.6,55.9,55
REGION III,Bulacan,16.5,11.6,13.1
REGION II,Cagayan,48.9,38.2,34.1
REGION V,Camarines Norte,54.6,56.9,62.2
REGION V,Camarines Sur,57.8,54.6,55.4
Region X,Camiguin,70.8,46.7,57
REGION VI,Capiz,63.3,48,59.2
REGION V,Catanduanes,42.9,50.4,55.4
REGION IV-A,Cavite,12.2,11,16.9
REGION VII,Cebu,30.1,30.1,36
Region XII,Cotabato,62.1,63.1,57.9
BARMM,Cotabato City,16.4,35.1,40.7
Region XI,Davao del Norte,50.9,48.4,51.3
Region XI,Davao del Sur,37.6,32.9,33.7
Region XI,Davao Oriental,69.5,59.1,50.3
REGION VII,Eastern Samar,28.7,67.2,63.5
REGION VI,Guimaras,,45.3,38.6
CORDILLERA ADMINISTRATIVE REGION,Ifugao,83.4,68.8,72.1
REGION I,Ilocos Norte,46.7,33.6,30.1
REGION I,Ilocos Sur,55.4,39.2,40.6
REGION VI,Iloilo,45.5,42.7,39.5
REGION II,Isabela,38.2,40.2,37.6
CORDILLERA ADMINISTRATIVE REGION,Kalinga,60.8,55.7,58.1
REGION I,La Union,50.2,47.5,48
REGION IV-A,Laguna,22.6,18.2,18.8
Region X,Lanao del Norte,64.6,53.4,56.6
BARMM,Lanao del Sur,52.5,64.3,64.2
REGION VII,Leyte,44.8,41.5,47
BARMM,Maguindanao,70.9,62.7,73
REGION IV-B,Marinduque,61,57.8,64.7
REGION V,Masbate,82.6,72.5,77
Region X,Misamis Occidental,51.1,57.9,60.3
Region X,Misamis Oriental,40.2,40.5,38.7
CORDILLERA ADMINISTRATIVE REGION,Mountain Province,69.3,63.4,55.6
REGION VI,Negros Occidental,46.1,46.3,58.7
REGION VII,Negros Oriental,44.6,47.1,49.4
REGION VII,Northern Samar,55.5,58.5,58.1
REGION III,Nueva Ecija,36.6,26.3,25.4
REGION II,Nueva Vizcaya,27.7,29.2,25.7
REGION IV-B,Occidental Mindoro,39.7,54.5,63
REGION IV-B,Oriental Mindoro,50.3,43.8,51.4
REGION IV-B,Palawan,65.5,51.5,48.9
REGION III,Pampanga,18.1,11.7,18.9
REGION I,Pangasinan,55.3,47,46
REGION IV-A,Quezon,51,45,48
REGION II,Quirino,62.7,43.2,44.3
REGION IV-A,Rizal,18.8,12,14.2
REGION IV-B,Romblon,88,74.3,78.6
REGION VII,Samar,45.1,46.4,55.2
Region XII,Saranggani,,54,59.2
REGION VII,Siquijor,45.3,56.1,46
REGION V,Sorsogon,67.1,52.5,59.2
Region XII,South Cotabato,40.1,42.7,44.8
REGION VII,Southern Leyte,43.8,45.7,41.1
Region XII,Sultan Kudarat,55.3,51.2,64.3
BARMM,Sulu,77.1,71.8,76.8
Region XIII,Surigao del Norte,58.1,56.7,54.6
Region XIII,Surigao del Sur,50.6,55.7,55.3
REGION III,Tarlac,45.9,30.2,37.2
BARMM,Tawi-Tawi,54.4,41.6,68.7
REGION III,Zambales,44.4,25.1,34.4
Region IX,Zamboanga del Norte,65.2,55.8,58.1
Region IX,Zamboanga del Sur,44,43.6,50.6
