reg_name,prov_name,2017,2018,2019,2020,2021,2022,2023,2024
CAR,Abra,885.5,950.0,1033.9,1165.8,1249.5,1722.9,1455.9,1546.6
XIII - Caraga,Agusan del Norte,854.7,915.8,980.3,1105.4,1184.7,1633.6,1395.0,1481.9
XIII - Caraga,Agusan del Sur,1706.8,1832.1,2010.5,2266.9,2429.6,3350.3,2838.4,3015.3
VI - Western Visayas,Aklan,930.9,997.8,1073.9,1210.9,1297.8,1789.5,1516.9,1611.4
V - Bicol Region,Albay,1519.3,1629.9,1774.1,2000.4,2144.0,2956.4,2469.4,2623.3
VI - Western Visayas,Antique,1015.1,1088.2,1172.2,1321.8,1416.6,1953.4,1645.6,1748.2
CAR,Apayao,800.5,859.5,946.5,1067.3,1143.8,1577.3,1337.2,1420.5
III - Central Luzon,Aurora,769.6,826.0,904.4,1019.8,1093.0,1507.2,1286.6,1366.8
BARMM,Basilan,864.2,927.5,1016.7,1146.4,1228.7,1694.3,1508.8,1602.8
III - Central Luzon,Bataan,1019.3,1093.2,1185.1,1336.3,1432.2,1974.9,1716.5,1823.5
II - Cagayan Valley,Batanes,378.1,405.6,440.4,496.6,532.2,733.9,620.9,659.6
IV-A - CALABARZON,Batangas,2554.2,2740.8,2994.7,3376.7,3619.0,4990.4,4255.8,4521.0
CAR,Benguet,915.3,981.5,1061.7,1197.1,1283.0,1769.2,1482.0,1574.4
VIII - Eastern Visayas,Biliran,517.6,555.2,602.9,679.8,728.6,1004.7,845.4,898.1
VII - Central Visayas,Bohol,1713.5,1838.3,2002.3,2257.7,2419.7,3336.7,2818.0,2993.6
X - Northern Mindanao,Bukidnon,2255.6,2421.7,2665.4,3005.3,3221.0,4441.5,3804.3,4041.3
III - Central Luzon,Bulacan,2964.8,3180.6,3464.2,3906.0,4186.3,5772.6,5096.2,5413.7
II - Cagayan Valley,Cagayan,2017.7,2164.8,2360.9,2662.0,2853.0,3934.1,3326.6,3533.9
V - Bicol Region,Camarines Norte,973.3,1043.9,1131.8,1276.1,1367.7,1885.9,1605.0,1705.0
V - Bicol Region,Camarines Sur,2074.5,2226.1,2433.1,2743.4,2940.3,4054.5,3416.1,3628.9
X - Northern Mindanao,Camiguin,430.4,461.7,502.4,566.5,607.2,837.3,706.0,750.0
VI - Western Visayas,Capiz,1138.2,1219.9,1310.0,1477.0,1583.0,2182.9,1839.7,1954.3
V - Bicol Region,Catanduanes,695.6,743.9,775.5,874.4,937.2,1292.3,1086.9,1154.7
IV-A - CALABARZON,Cavite,3111.6,3339.8,3661.8,4128.8,4425.1,6102.0,5620.7,5970.9
VII - Central Visayas,Cebu,2911.1,3122.1,3385.5,3817.3,4091.3,5641.6,4982.3,5292.7
XI - Davao Region,Davao de Oro,1357.4,1457.8,1480.3,1669.1,1788.9,2466.7,2071.3,2200.3
XI - Davao Region,Davao del Norte,1357.4,1457.8,1609.8,1815.1,1945.3,2682.5,2316.4,2460.7
XI - Davao Region,Davao del Sur,1000.3,1072.4,1157.7,1305.4,1399.1,1929.2,1639.2,1741.3
XI - Davao Region,Davao Occidental,734.3,789.1,879.7,991.9,1063.1,1465.9,1219.2,1295.1
XI - Davao Region,Davao Oriental,1239.2,1329.6,1451.8,1636.9,1754.4,2419.2,2031.1,2157.6
XIII - Caraga,Dinagat Islands,514.4,552.8,616.2,694.8,744.7,1026.9,861.0,914.6
VIII - Eastern Visayas,Eastern Samar,1104.7,1183.8,1269.7,1431.6,1534.3,2115.7,1771.6,1882.0
VI - Western Visayas,Guimaras,519.4,557.6,612.4,690.5,740.1,1020.5,864.8,918.7
CAR,Ifugao,731.0,783.5,841.9,949.3,1017.4,1403.0,1180.0,1253.5
I - Ilocos Region,Ilocos Norte,1085.1,1163.7,1260.4,1421.1,1523.1,2100.3,1754.2,1863.5
I - Ilocos Region,Ilocos Sur,1096.2,1174.1,1249.6,1408.9,1510.0,2082.3,1729.8,1837.6
VI - Western Visayas,Iloilo,2192.5,2350.1,2528.9,2851.4,3056.0,4214.1,3550.7,3771.9
II - Cagayan Valley,Isabela,2490.2,2671.6,2911.3,3282.6,3518.2,4851.4,4110.5,4366.6
CAR,Kalinga,793.6,850.4,911.6,1027.8,1101.6,1519.0,1291.9,1372.4
I - Ilocos Region,La Union,1056.5,1132.6,1220.4,1376.0,1474.8,2033.6,1701.0,1807.0
IV-A - CALABARZON,Laguna,2698.4,2894.7,3150.5,3552.4,3807.3,5250.0,4594.9,4881.2
X - Northern Mindanao,Lanao del Norte,1109.3,1189.1,1280.6,1443.9,1547.6,2134.0,1808.8,1921.5
BARMM,Lanao del Sur,2096.3,2252.8,2511.2,2831.4,3034.6,4184.6,3644.7,3871.8
VIII - Eastern Visayas,Leyte,1974.4,2115.1,2257.2,2545.0,2727.7,3761.3,3113.9,3307.9
BARMM,Maguindanao,1796.2,1930.2,2151.5,2426.0,2600.1,3585.3,,
BARMM,Maguindanao del Norte,,,,,,,1802.4,1914.7
BARMM,Maguindanao del Sur,,,,,,,1906.5,2025.3
MIMAROPA Region,Marinduque,603.3,646.8,698.4,787.4,843.9,1163.7,972.4,1033.0
V - Bicol Region,Masbate,1355.8,1454.2,1578.8,1780.2,1908.0,2631.0,2181.0,2316.9
X - Northern Mindanao,Misamis Occidental,966.2,1036.0,1120.7,1263.6,1354.3,1867.5,1552.8,1649.6
X - Northern Mindanao,Misamis Oriental,1255.0,1346.6,1468.9,1656.3,1775.1,2447.8,2082.4,2212.1
CAR,Mt. Province,653.3,700.2,753.4,849.5,910.4,1255.4,1056.9,1122.7
VI - Western Visayas,Negros Occidental,2832.3,3038.2,3304.5,3725.9,3993.3,5506.6,4617.1,4904.7
VII - Central Visayas,Negros Oriental,1812.9,1943.4,2094.7,2361.9,2531.4,3490.6,2942.8,3126.2
XII - SOCCSKSARGEN,North Cotabato,2098.8,2253.6,2484.0,2800.8,3001.8,4139.3,3532.0,3752.1
VIII - Eastern Visayas,Northern Samar,1147.7,1229.5,1313.7,1480.2,1586.4,2187.5,1814.5,1927.5
III - Central Luzon,Nueva Ecija,2383.3,2558.0,2804.1,3161.7,3388.6,4672.7,3971.6,4219.0
II - Cagayan Valley,Nueva Vizcaya,1051.5,1128.2,1230.5,1387.4,1487.0,2050.4,1756.2,1865.6
MIMAROPA Region,Occidental Mindoro,1207.1,1295.0,1411.4,1591.3,1705.5,2351.8,2002.7,2127.5
MIMAROPA Region,Oriental Mindoro,1324.1,1420.5,1546.9,1744.1,1869.3,2577.7,2192.9,2329.6
MIMAROPA Region,Palawan,2210.3,2372.9,2609.9,2942.8,3154.0,4349.1,3736.5,3969.3
III - Central Luzon,Pampanga,2109.4,2262.8,2460.5,2774.3,2973.5,4100.2,3567.6,3789.9
I - Ilocos Region,Pangasinan,2961.6,3176.8,3453.2,3893.6,4173.1,5754.4,4677.7,4969.1
IV-A - CALABARZON,Quezon,2475.9,2654.8,2869.8,3235.8,3468.1,4782.3,4019.9,4270.4
II - Cagayan Valley,Quirino,788.6,845.8,917.5,1034.5,1108.8,1528.9,1300.2,1381.2
IV-A - CALABARZON,Rizal,2496.8,2681.1,2957.4,3334.5,3573.9,4928.1,4443.2,4720.0
MIMAROPA Region,Romblon,707.0,757.3,806.6,909.4,974.7,1344.1,1134.2,1204.9
VIII - Eastern Visayas,Samar,1438.8,1543.3,1677.2,1891.1,2026.8,2794.8,2327.1,2472.1
XII - SOCCSKSARGEN,Saranggani,1045.0,1121.6,1229.0,1385.8,1485.3,2048.1,1711.9,1818.6
VII - Central Visayas,Siquijor,451.5,483.8,518.9,585.1,627.1,864.7,732.2,777.8
V - Bicol Region,Sorsogon,1118.4,1198.6,1288.2,1452.5,1556.8,2146.7,1797.2,1909.1
XII - SOCCSKSARGEN,South Cotabato,1346.6,1444.9,1576.2,1777.2,1904.8,2626.6,2223.8,2362.3
VIII - Eastern Visayas,Southern Leyte,822.1,880.8,942.2,1062.4,1138.7,1570.1,1306.6,1388.0
XII - SOCCSKSARGEN,Sultan Kudarat,1375.7,1476.8,1622.9,1829.8,1961.2,2704.3,2279.3,2421.3
BARMM,Sulu,1099.3,1181.3,1316.7,1484.7,1591.2,2194.2,1990.2,2114.2
XIII - Caraga,Surigao del Norte,889.9,953.1,1013.6,1142.8,1224.8,1689.0,1448.9,1539.2
XIII - Caraga,Surigao del Sur,1207.3,1294.8,1404.2,1583.2,1696.9,2339.9,1996.5,2120.9
III - Central Luzon,Tarlac,1570.9,1685.3,1834.7,2068.7,2217.2,3057.3,2637.3,2801.6
BARMM,Tawi-Tawi,903.1,970.5,1081.7,1219.7,1307.2,1802.5,1554.6,1651.5
III - Central Luzon,Zambales,1091.5,1170.1,1261.1,1421.9,1523.9,2101.4,1802.4,1914.7
IX - Zamboanga Peninsula,Zamboanga del Norte,1727.4,1852.0,1999.4,2254.4,2416.2,3331.9,2791.5,2965.4
IX - Zamboanga Peninsula,Zamboanga del Sur,1468.0,1574.8,1714.0,1932.6,2071.3,2856.2,2389.1,2537.9
IX - Zamboanga Peninsula,Zamboanga Sibugay,1107.3,1188.6,1304.7,1471.1,1576.7,2174.2,1836.2,1950.6
