prov_name,year,q10_dynasty_share,q50_dynasty_share,q90_dynasty_share,horizon,risk_tier,pi_width,dynasty_share_2022,delta_from_2022,trajectory
Abra,2023,34.521358489990234,36.00830078125,38.91923904418945,2028,Moderate Risk,4.397880554199219,37.72241973876953,-1.7141189575195312,Stable
Abra,2024,35.52705001831055,37.39813232421875,40.69940948486328,2028,Moderate Risk,5.172359466552734,37.72241973876953,-0.32428741455078125,Stable
Abra,2025,35.460731506347656,37.7084846496582,41.37240982055664,2028,Moderate Risk,5.911678314208984,37.72241973876953,-0.013935089111328125,Stable
Abra,2026,34.5684814453125,36.99370193481445,40.96475982666016,2028,Moderate Risk,6.396278381347663,37.72241973876953,-0.7287178039550781,Stable
Abra,2027,34.278717041015625,36.7763557434082,40.861724853515625,2028,Moderate Risk,6.5830078125,37.72241973876953,-0.9460639953613281,Stable
Abra,2028,34.634429931640625,37.23843765258789,41.33887481689453,2028,Moderate Risk,6.704444885253906,37.72241973876953,-0.4839820861816406,Stable
Agusan Del Norte,2023,21.827369689941406,23.7130069732666,26.694969177246097,2028,Low Risk,4.867599487304691,22.794116973876953,0.9188899993896484,Stable
Agusan Del Norte,2024,21.864986419677734,23.675838470458984,26.588632583618164,2028,Low Risk,4.72364616394043,22.794116973876953,0.8817214965820312,Stable
Agusan Del Norte,2025,21.81355094909668,23.64708709716797,26.580509185791016,2028,Low Risk,4.766958236694336,22.794116973876953,0.8529701232910156,Stable
Agusan Del Norte,2026,21.74376678466797,23.694053649902344,26.723033905029297,2028,Low Risk,4.979267120361328,22.794116973876953,0.8999366760253906,Stable
Agusan Del Norte,2027,21.644495010375977,23.78941535949707,26.956918716430664,2028,Low Risk,5.3124237060546875,22.794116973876953,0.9952983856201172,Stable
Agusan Del Norte,2028,21.384292602539062,23.793895721435547,27.16152000427246,2028,Low Risk,5.777227401733398,22.794116973876953,0.9997787475585938,Stable
Agusan Del Sur,2023,24.749116897583008,25.991167068481445,27.999073028564453,2028,Low Risk,3.2499561309814453,28.846153259277344,-2.8549861907958984,Decreasing
Agusan Del Sur,2024,24.974390029907227,26.54500961303711,28.866857528686523,2028,Low Risk,3.892467498779297,28.846153259277344,-2.3011436462402344,Decreasing
Agusan Del Sur,2025,24.64543914794922,26.44525718688965,29.031538009643555,2028,Low Risk,4.386098861694336,28.846153259277344,-2.4008960723876953,Decreasing
