prov_name,year,q10_dynasty_share,q50_dynasty_share,q90_dynasty_share,horizon
Abra,2023,35.34195327758789,36.59526062011719,38.09273147583008,2028
Abra,2024,35.22319030761719,36.96227264404297,38.833492279052734,2028
Abra,2025,35.36530685424805,37.649879455566406,40.06936264038086,2028
Abra,2026,35.56821823120117,38.37196731567383,41.40227508544922,2028
Abra,2027,35.67298889160156,38.801204681396484,42.27057647705078,2028
Abra,2028,35.66741180419922,38.94489669799805,42.65617370605469,2028
Agusan Del Norte,2023,19.73103141784668,21.321691513061523,23.180028915405273,2028
Agusan Del Norte,2024,19.48513412475586,21.155092239379883,23.11234474182129,2028
Agusan Del Norte,2025,19.227092742919922,20.964580535888672,22.99635124206543,2028
Agusan Del Norte,2026,19.0003662109375,20.783069610595703,22.868343353271484,2028
Agusan Del Norte,2027,18.832914352416992,20.635295867919922,22.75356674194336,2028
Agusan Del Norte,2028,18.723724365234375,20.528461456298828,22.66388702392578,2028
Agusan Del Sur,2023,25.164012908935547,27.27509307861328,30.22718048095703,2028
Agusan Del Sur,2024,24.688508987426758,27.162364959716797,30.33899688720703,2028
Agusan Del Sur,2025,24.358856201171875,27.011245727539062,30.304641723632812,2028
Agusan Del Sur,2026,24.126026153564453,26.87487030029297,30.228757858276367,2028
Agusan Del Sur,2027,23.941984176635742,26.755104064941406,30.14512825012207,2028
Agusan Del Sur,2028,23.7850399017334,26.64820098876953,30.062532424926758,2028
Aklan,2023,31.930517196655273,33.39036560058594,35.799652099609375,2028
Aklan,2024,31.637283325195312,33.444332122802734,36.05757141113281,2028
Aklan,2025,31.592086791992188,33.649593353271484,36.57173156738281,2028
Aklan,2026,31.69609260559082,34.00934600830078,37.30085754394531,2028
Aklan,2027,31.851470947265625,34.43894577026367,38.13351821899414,2028
Aklan,2028,32.0168571472168,34.868465423583984,38.95349884033203,2028
Albay,2023,24.150142669677734,26.550567626953125,30.091083526611328,2028
Albay,2024,23.97039794921875,26.987346649169922,30.98192596435547,2028
Albay,2025,23.59855842590332,26.961944580078125,31.292606353759766,2028
Albay,2026,23.234148025512695,26.810012817382812,31.345285415649414,2028
Albay,2027,22.91876983642578,26.644611358642578,31.304698944091797,2028
Albay,2028,22.65106964111328,26.490413665771484,31.227697372436523,2028
Antique,2023,26.264358520507812,27.628360748291016,30.004690170288086,2028
Antique,2024,27.14369010925293,28.992658615112305,31.800067901611328,2028
Antique,2025,27.748348236083984,29.87613296508789,33.02420425415039,2028
Antique,2026,28.044313430786133,30.405847549438477,33.93275833129883,2028
Antique,2027,28.208694458007812,30.78441047668457,34.693260192871094,2028
Antique,2028,28.2914981842041,31.055288314819336,35.28774642944336,2028
Apayao,2023,27.579742431640625,30.237728118896484,34.983734130859375,2028
Apayao,2024,27.310771942138672,30.592430114746094,36.19395446777344,2028
Apayao,2025,27.147367477416992,31.016727447509766,37.55113220214844,2028
Apayao,2026,27.168132781982422,31.474390029907227,38.747406005859375,2028
Apayao,2027,27.335651397705078,31.8977108001709,39.6558837890625,2028
Apayao,2028,27.566898345947266,32.259307861328125,40.329246520996094,2028
Aurora,2023,28.553186416625977,30.75650405883789,34.19113540649414,2028
Aurora,2024,27.77402114868164,30.49874496459961,34.36177444458008,2028
Aurora,2025,27.418058395385742,30.578258514404297,34.985572814941406,2028
Aurora,2026,27.247501373291016,30.846500396728516,35.874298095703125,2028
Aurora,2027,27.172836303710938,31.234039306640625,36.940494537353516,2028
Aurora,2028,27.149538040161133,31.70229721069336,38.09621810913086,2028
Basilan,2023,30.587270736694336,37.21589279174805,48.09839630126953,2028
Basilan,2024,29.400161743164062,36.492523193359375,47.85979080200195,2028
Basilan,2025,28.271228790283203,35.79717254638672,47.4654541015625,2028
Basilan,2026,27.293184280395508,35.18443298339844,47.02395248413086,2028
Basilan,2027,26.507850646972656,34.670005798339844,46.592323303222656,2028
Basilan,2028,25.891014099121094,34.23858642578125,46.19447708129883,2028
Bataan,2023,30.282123565673828,32.35387420654297,35.11058044433594,2028
Bataan,2024,29.987884521484375,32.52117156982422,35.727970123291016,2028
Bataan,2025,29.917306900024414,32.86355972290039,36.61164474487305,2028
Bataan,2026,29.974960327148438,33.3104248046875,37.640411376953125,2028
Bataan,2027,30.061431884765625,33.76214599609375,38.65430450439453,2028
Bataan,2028,30.134225845336914,34.160194396972656,39.54806137084961,2028
Batanes,2023,25.838699340820312,28.523052215576172,32.671142578125,2028
Batanes,2024,26.106332778930664,29.78844451904297,34.52574920654297,2028
Batanes,2025,26.55608558654785,31.131710052490234,36.60219955444336,2028
Batanes,2026,26.999618530273438,32.019691467285156,37.938232421875,2028
Batanes,2027,27.327255249023438,32.49248123168945,38.64601516723633,2028
Batanes,2028,27.5211181640625,32.70261764526367,38.992897033691406,2028
Batangas,2023,34.02546310424805,36.59001541137695,40.77922821044922,2028
Batangas,2024,38.61054229736328,43.66147232055664,49.024757385253906,2028
Batangas,2025,41.559932708740234,46.112159729003906,50.875709533691406,2028
Batangas,2026,41.9927864074707,46.30208206176758,50.86827087402344,2028
Batangas,2027,41.994476318359375,46.266902923583984,50.80585479736328,2028
Batangas,2028,41.89892578125,46.17757034301758,50.73988342285156,2028
Benguet,2023,4.076976776123047,5.659750461578369,8.29890251159668,2028
Benguet,2024,5.255446910858154,8.411450386047363,12.2283353805542,2028
Benguet,2025,8.817590713500977,13.000012397766113,17.301605224609375,2028
Benguet,2026,10.10487174987793,14.047333717346191,18.225685119628906,2028
Benguet,2027,10.515380859375,14.282158851623535,18.387462615966797,2028
Benguet,2028,10.724074363708496,14.374999046325684,18.440330505371094,2028
Biliran,2023,16.67388343811035,19.111862182617188,22.92645835876465,2028
Biliran,2024,17.083425521850586,19.909746170043945,23.919475555419922,2028
Biliran,2025,17.880334854125977,20.816991806030273,24.876323699951172,2028
Biliran,2026,18.1595401763916,21.102266311645508,25.156518936157227,2028
Biliran,2027,18.258800506591797,21.209224700927734,25.252281188964844,2028
Biliran,2028,18.315542221069336,21.280975341796875,25.322582244873047,2028
Bohol,2023,28.050601959228516,28.411466598510742,28.992258071899414,2028
Bohol,2024,28.06080436706543,28.509794235229492,29.147790908813477,2028
Bohol,2025,28.15931510925293,28.73607635498047,29.48442840576172,2028
Bohol,2026,28.396203994750977,29.152809143066406,30.04386329650879,2028
Bohol,2027,28.753610610961914,29.699949264526367,30.69470977783203,2028
Bohol,2028,29.072757720947266,30.114269256591797,31.151458740234375,2028
Bukidnon,2023,20.023624420166016,21.59990692138672,24.235729217529297,2028
Bukidnon,2024,19.723264694213867,21.761306762695312,24.7591552734375,2028
Bukidnon,2025,19.79532241821289,22.269968032836914,25.73321533203125,2028
Bukidnon,2026,20.04813575744629,22.979265213012695,26.987838745117188,2028
Bukidnon,2027,20.370769500732422,23.771217346191406,28.318758010864258,2028
Bukidnon,2028,20.632598876953125,24.4384765625,29.431947708129883,2028
Bulacan,2023,42.562522888183594,44.74119567871094,47.51670455932617,2028
Bulacan,2024,44.41145706176758,47.76367950439453,51.038299560546875,2028
Bulacan,2025,45.69552230834961,48.83479309082031,52.03895568847656,2028
Bulacan,2026,45.886531829833984,48.913291931152344,52.06578063964844,2028
Bulacan,2027,45.97465515136719,49.022483825683594,52.18806076049805,2028
Bulacan,2028,46.082008361816406,49.196773529052734,52.40327453613281,2028
Cagayan,2023,29.19722557067871,31.04619789123535,33.386539459228516,2028
Cagayan,2024,29.11077880859375,31.24864959716797,34.02213668823242,2028
Cagayan,2025,29.041793823242188,31.40193748474121,34.54803466796875,2028
Cagayan,2026,29.00662612915039,31.531627655029297,34.96659469604492,2028
Cagayan,2027,28.984416961669922,31.63836097717285,35.29336929321289,2028
Cagayan,2028,28.954967498779297,31.72348403930664,35.556976318359375,2028
Camarines Norte,2023,22.64545440673828,26.78217315673828,32.13286209106445,2028
Camarines Norte,2024,22.263614654541016,26.506298065185547,31.88044548034668,2028
Camarines Norte,2025,22.20301055908203,26.398929595947266,31.65365219116211,2028
Camarines Norte,2026,22.192909240722656,26.319969177246094,31.465435028076172,2028
Camarines Norte,2027,22.143905639648438,26.22586441040039,31.302021026611328,2028
Camarines Norte,2028,22.06166648864746,26.122371673583984,31.15729331970215,2028
Camarines Sur,2023,19.314367294311523,21.832111358642578,25.094226837158203,2028
Camarines Sur,2024,21.12940216064453,24.2276611328125,27.95428466796875,2028
Camarines Sur,2025,21.863834381103516,25.00939178466797,28.726428985595703,2028
Camarines Sur,2026,21.942975997924805,25.09444808959961,28.751541137695312,2028
Camarines Sur,2027,21.855125427246094,25.031780242919922,28.67813491821289,2028
